"","V1","V2","Attractor","Grammaticality","Experiment"
"339",-1.62,0.000312045843091327,"Match","Grammatical","Experiment 1"
"340",-1.61,0.000326953892646228,"Match","Grammatical","Experiment 1"
"341",-1.6,0.000342573058524599,"Match","Grammatical","Experiment 1"
"342",-1.59,0.000358938971410163,"Match","Grammatical","Experiment 1"
"343",-1.58,0.000376080568657218,"Match","Grammatical","Experiment 1"
"344",-1.57,0.000394041624634879,"Match","Grammatical","Experiment 1"
"345",-1.56,0.000412856971523425,"Match","Grammatical","Experiment 1"
"346",-1.55,0.000432565167454586,"Match","Grammatical","Experiment 1"
"347",-1.54,0.00045321581516239,"Match","Grammatical","Experiment 1"
"348",-1.53,0.00047484433836736,"Match","Grammatical","Experiment 1"
"349",-1.52,0.00049750109102471,"Match","Grammatical","Experiment 1"
"350",-1.51,0.000521238695142404,"Match","Grammatical","Experiment 1"
"351",-1.5,0.000546097900973473,"Match","Grammatical","Experiment 1"
"352",-1.49,0.00057214093276706,"Match","Grammatical","Experiment 1"
"353",-1.48,0.000599419902917838,"Match","Grammatical","Experiment 1"
"354",-1.47,0.000627987893448428,"Match","Grammatical","Experiment 1"
"355",-1.46,0.000657916656461593,"Match","Grammatical","Experiment 1"
"356",-1.45,0.000689257787101069,"Match","Grammatical","Experiment 1"
"357",-1.44,0.000722081482873151,"Match","Grammatical","Experiment 1"
"358",-1.43,0.000756464634302869,"Match","Grammatical","Experiment 1"
"359",-1.42,0.000792464606950942,"Match","Grammatical","Experiment 1"
"360",-1.41,0.000830168843126496,"Match","Grammatical","Experiment 1"
"361",-1.4,0.000869654581227871,"Match","Grammatical","Experiment 1"
"362",-1.39,0.000910994285483993,"Match","Grammatical","Experiment 1"
"363",-1.38,0.000954290347585947,"Match","Grammatical","Experiment 1"
"364",-1.37,0.000999617620024105,"Match","Grammatical","Experiment 1"
"365",-1.36,0.00104707260292874,"Match","Grammatical","Experiment 1"
"366",-1.35,0.00109676593080046,"Match","Grammatical","Experiment 1"
"367",-1.34,0.00114877791341026,"Match","Grammatical","Experiment 1"
"368",-1.33,0.00120322948882914,"Match","Grammatical","Experiment 1"
"369",-1.32,0.00126023287382006,"Match","Grammatical","Experiment 1"
"370",-1.31,0.0013198859846635,"Match","Grammatical","Experiment 1"
"371",-1.3,0.00138233177088367,"Match","Grammatical","Experiment 1"
"372",-1.29,0.00144767744792896,"Match","Grammatical","Experiment 1"
"373",-1.28,0.00151605267599915,"Match","Grammatical","Experiment 1"
"374",-1.27,0.00158761272908792,"Match","Grammatical","Experiment 1"
"375",-1.26,0.00166246822658089,"Match","Grammatical","Experiment 1"
"376",-1.25,0.00174078191698525,"Match","Grammatical","Experiment 1"
"377",-1.24,0.00182271160870958,"Match","Grammatical","Experiment 1"
"378",-1.23,0.0019083865024316,"Match","Grammatical","Experiment 1"
"379",-1.22,0.00199799885912623,"Match","Grammatical","Experiment 1"
"380",-1.21,0.0020916974987331,"Match","Grammatical","Experiment 1"
"381",-1.2,0.00218964944943284,"Match","Grammatical","Experiment 1"
"382",-1.19,0.00229206270196779,"Match","Grammatical","Experiment 1"
